Bowflex Max Trainer,CAM47197 IFC*N120HAMBYTIC,8/23/2015,8/23/2015,8/17/2015,1,Short Form,Third Party Call Center - West
Bowflex Max Trainer,CAM44551 dosg2esl4,8/24/2015,8/24/2015,8/24/2015,2,Online Search,Web
Bowflex Max Trainer,CAM44551 dosg2esl4,,8/26/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM44551 dosg2esl4,,8/27/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM44551 dosg2esl4,8/28/2015,8/28/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM44551 dosg2esl4,,8/28/2015,8/24/2015,4,Online Search,Web
Bowflex Max Trainer,CAM44551 dosg2esl4,,8/29/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM44551 dosg2esl4,,8/30/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM44560 dosg2esl5,8/24/2015,8/24/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM44560 dosg2esl5,,8/24/2015,8/24/2015,8,Online Search,Web
Bowflex Max Trainer,CAM44560 dosg2esl5,,8/25/2015,8/24/2015,4,Online Search,Web
Bowflex Max Trainer,CAM44560 dosg2esl5,,8/26/2015,8/24/2015,4,Online Search,Web
Bowflex Max Trainer,CAM44560 dosg2esl5,8/27/2015,8/27/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM44560 dosg2esl5,,8/27/2015,8/24/2015,2,Online Search,Web
Bowflex Max Trainer,CAM44560 dosg2esl5,,8/28/2015,8/24/2015,4,Online Search,Web
Bowflex Max Trainer,CAM44560 dosg2esl5,,8/29/2015,8/24/2015,2,Online Search,Web
Bowflex Max Trainer,CAM44560 dosg2esl5,,8/30/2015,8/24/2015,2,Online Search,Web
Bowflex Max Trainer,CAM44565 dosbiesl5,,8/26/2015,8/24/2015,3,Online Search,Web
Bowflex Max Trainer,CAM44567 dosg2esl3,8/24/2015,8/24/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM44567 dosg2esl3,8/25/2015,8/25/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM44567 dosg2esl3,,8/26/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM44567 dosg2esl3,8/30/2015,8/30/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM44567 dosg2esl3,,8/30/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM44952 dosbieml1,8/24/2015,8/24/2015,8/24/2015,11,Online Search,Web
Bowflex Max Trainer,CAM44952 dosbieml1,,8/24/2015,8/24/2015,11,Online Search,Web
Bowflex Max Trainer,CAM44952 dosbieml1,8/25/2015,8/25/2015,8/24/2015,4,Online Search,Web
Bowflex Max Trainer,CAM44952 dosbieml1,,8/25/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM44952 dosbieml1,8/26/2015,8/26/2015,8/24/2015,7,Online Search,Web
Bowflex Max Trainer,CAM44952 dosbieml1,8/27/2015,8/26/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM44952 dosbieml1,,8/26/2015,8/24/2015,6,Online Search,Web
Bowflex Max Trainer,CAM44952 dosbieml1,8/27/2015,8/27/2015,8/24/2015,8,Online Search,Web
Bowflex Max Trainer,CAM44952 dosbieml1,,8/27/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM44952 dosbieml1,8/28/2015,8/28/2015,8/24/2015,4,Online Search,Web
Bowflex Max Trainer,CAM44952 dosbieml1,,8/28/2015,8/24/2015,6,Online Search,Web
Bowflex Max Trainer,CAM44952 dosbieml1,8/29/2015,8/29/2015,8/24/2015,7,Online Search,Web
Bowflex Max Trainer,CAM44952 dosbieml1,,8/29/2015,8/24/2015,3,Online Search,Web
Bowflex Max Trainer,CAM44952 dosbieml1,8/30/2015,8/30/2015,8/24/2015,4,Online Search,Web
Bowflex Max Trainer,CAM44952 dosbieml1,,8/30/2015,8/24/2015,3,Online Search,Web
Bowflex Max Trainer,CAM45009 dosg2eml1,8/24/2015,8/24/2015,8/24/2015,27,Online Search,Web
Bowflex Max Trainer,CAM45009 dosg2eml1,8/25/2015,8/24/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45009 dosg2eml1,8/26/2015,8/24/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45009 dosg2eml1,,8/24/2015,8/24/2015,29,Online Search,Web
Bowflex Max Trainer,CAM45009 dosg2eml1,8/25/2015,8/25/2015,8/24/2015,24,Online Search,Web
Bowflex Max Trainer,CAM45009 dosg2eml1,,8/25/2015,8/24/2015,15,Online Search,Web
Bowflex Max Trainer,CAM45009 dosg2eml1,8/26/2015,8/26/2015,8/24/2015,28,Online Search,Web
Bowflex Max Trainer,CAM45009 dosg2eml1,8/28/2015,8/26/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45009 dosg2eml1,,8/26/2015,8/24/2015,11,Online Search,Web
Bowflex Max Trainer,CAM45009 dosg2eml1,8/27/2015,8/27/2015,8/24/2015,20,Online Search,Web
Bowflex Max Trainer,CAM45009 dosg2eml1,,8/27/2015,8/24/2015,14,Online Search,Web
Bowflex Max Trainer,CAM45009 dosg2eml1,8/28/2015,8/28/2015,8/24/2015,18,Online Search,Web
Bowflex Max Trainer,CAM45009 dosg2eml1,,8/28/2015,8/24/2015,21,Online Search,Web
Bowflex Max Trainer,CAM45009 dosg2eml1,8/29/2015,8/29/2015,8/24/2015,11,Online Search,Web
Bowflex Max Trainer,CAM45009 dosg2eml1,,8/29/2015,8/24/2015,5,Online Search,Web
Bowflex Max Trainer,CAM45009 dosg2eml1,8/30/2015,8/30/2015,8/24/2015,19,Online Search,Web
Bowflex Max Trainer,CAM45009 dosg2eml1,,8/30/2015,8/24/2015,16,Online Search,Web
Bowflex Max Trainer,CAM45630 ICAOSBCEML2,,8/29/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45729 DOSG2ESL6,,8/24/2015,8/24/2015,2,Online Search,Web
Bowflex Max Trainer,CAM45729 DOSG2ESL6,,8/25/2015,8/24/2015,2,Online Search,Web
Bowflex Max Trainer,CAM45729 DOSG2ESL6,8/26/2015,8/26/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45729 DOSG2ESL6,,8/26/2015,8/24/2015,3,Online Search,Web
Bowflex Max Trainer,CAM45729 DOSG2ESL6,,8/28/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45729 DOSG2ESL6,,8/29/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45729 DOSG2ESL6,,8/30/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,8/24/2015,8/24/2015,8/24/2015,2,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,,8/24/2015,8/24/2015,7,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,,8/25/2015,8/24/2015,3,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,,8/26/2015,8/24/2015,3,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,,8/27/2015,8/24/2015,2,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,8/28/2015,8/28/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,,8/28/2015,8/24/2015,4,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,8/29/2015,8/29/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,,8/29/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,,8/30/2015,8/24/2015,5,Online Search,Web
Bowflex Max Trainer,CAM45731 DOSBIESL6,,8/24/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45731 DOSBIESL6,,8/25/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45732 DOSBIESL7,,8/24/2015,8/24/2015,2,Online Search,Web
Bowflex Max Trainer,CAM45732 DOSBIESL7,8/25/2015,8/25/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45732 DOSBIESL7,,8/25/2015,8/24/2015,2,Online Search,Web
Bowflex Max Trainer,CAM45732 DOSBIESL7,,8/26/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45732 DOSBIESL7,,8/27/2015,8/24/2015,2,Online Search,Web
Bowflex Max Trainer,CAM45732 DOSBIESL7,,8/30/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,8/24/2015,8/24/2015,8/24/2015,9,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,,8/24/2015,8/24/2015,10,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,8/25/2015,8/25/2015,8/24/2015,2,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,8/26/2015,8/26/2015,8/24/2015,5,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,8/28/2015,8/26/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,,8/26/2015,8/24/2015,4,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,8/27/2015,8/27/2015,8/24/2015,5,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,,8/27/2015,8/24/2015,3,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,8/28/2015,8/28/2015,8/24/2015,5,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,,8/28/2015,8/24/2015,3,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,8/29/2015,8/29/2015,8/24/2015,3,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,,8/29/2015,8/24/2015,4,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,8/30/2015,8/30/2015,8/24/2015,5,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,,8/30/2015,8/24/2015,4,Online Search,Web
Bowflex Max Trainer,CAM47151 DOSG2EML2,8/24/2015,8/24/2015,8/24/2015,6,Online Search,Web
Bowflex Max Trainer,CAM47151 DOSG2EML2,,8/24/2015,8/24/2015,9,Online Search,Web
Bowflex Max Trainer,CAM47151 DOSG2EML2,8/25/2015,8/25/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47151 DOSG2EML2,,8/25/2015,8/24/2015,5,Online Search,Web
Bowflex Max Trainer,CAM47151 DOSG2EML2,8/26/2015,8/26/2015,8/24/2015,12,Online Search,Web
Bowflex Max Trainer,CAM47151 DOSG2EML2,,8/26/2015,8/24/2015,5,Online Search,Web
Bowflex Max Trainer,CAM47151 DOSG2EML2,8/27/2015,8/27/2015,8/24/2015,3,Online Search,Web
Bowflex Max Trainer,CAM47151 DOSG2EML2,,8/27/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47151 DOSG2EML2,,8/28/2015,8/24/2015,4,Online Search,Web
Bowflex Max Trainer,CAM47151 DOSG2EML2,8/29/2015,8/29/2015,8/24/2015,5,Online Search,Web
Bowflex Max Trainer,CAM47151 DOSG2EML2,,8/29/2015,8/24/2015,3,Online Search,Web
Bowflex Max Trainer,CAM47151 DOSG2EML2,8/30/2015,8/30/2015,8/24/2015,6,Online Search,Web
Bowflex Max Trainer,CAM47151 DOSG2EML2,,8/30/2015,8/24/2015,7,Online Search,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,8/24/2015,8/24/2015,8/24/2015,2,Online Search,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,,8/24/2015,8/24/2015,6,Online Search,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,8/25/2015,8/25/2015,8/24/2015,2,Online Search,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,8/30/2015,8/25/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,,8/25/2015,8/24/2015,2,Online Search,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,8/26/2015,8/26/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,,8/26/2015,8/24/2015,3,Online Search,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,8/27/2015,8/27/2015,8/24/2015,4,Online Search,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,8/28/2015,8/28/2015,8/24/2015,3,Online Search,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,8/29/2015,8/29/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,8/30/2015,8/30/2015,8/24/2015,3,Online Search,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,,8/30/2015,8/24/2015,3,Online Search,Web
Bowflex Max Trainer,CAM47153 DOSBIEML2,8/24/2015,8/24/2015,8/24/2015,6,Online Search,Web
Bowflex Max Trainer,CAM47153 DOSBIEML2,8/25/2015,8/25/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47153 DOSBIEML2,,8/25/2015,8/24/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47153 DOSBIEML2,8/26/2015,8/26/2015,8/24/2015,6,Online Search,Web
Bowflex Max Trainer,CAM47153 DOSBIEML2,8/27/2015,8/27/2015,8/24/2015,3,Online Search,Web
Bowflex Max Trainer,CAM47153 DOSBIEML2,8/28/2015,8/28/2015,8/24/2015,4,Online Search,Web
Bowflex Max Trainer,CAM47153 DOSBIEML2,8/29/2015,8/29/2015,8/24/2015,3,Online Search,Web
Bowflex Max Trainer,CAM47153 DOSBIEML2,8/30/2015,8/30/2015,8/24/2015,5,Online Search,Web
Bowflex Max Trainer,CAM47153 DOSBIEML2,,8/30/2015,8/24/2015,3,Online Search,Web
Bowflex Max Trainer,CAM33953 SAWDOFG2C,,8/29/2015,8/24/2015,1,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM33956 SAWDOFPGC,,8/24/2015,8/24/2015,1,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM33966 dofg2cfeed1,,8/25/2015,8/24/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM33968 dofpgcfeed1,,8/24/2015,8/24/2015,2,Online Shopping,Web
Bowflex Max Trainer,CAM33968 dofpgcfeed1,,8/25/2015,8/24/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM33968 dofpgcfeed1,,8/28/2015,8/24/2015,2,Online Shopping,Web
Bowflex Max Trainer,CAM33968 dofpgcfeed1,,8/29/2015,8/24/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,8/24/2015,8/24/2015,8/24/2015,26,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,,8/24/2015,8/24/2015,37,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,8/25/2015,8/25/2015,8/24/2015,15,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,,8/25/2015,8/24/2015,19,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,8/26/2015,8/26/2015,8/24/2015,20,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,,8/26/2015,8/24/2015,23,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,8/27/2015,8/27/2015,8/24/2015,19,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,,8/27/2015,8/24/2015,28,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,8/28/2015,8/28/2015,8/24/2015,12,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,,8/28/2015,8/24/2015,20,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,8/29/2015,8/29/2015,8/24/2015,21,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,,8/29/2015,8/24/2015,19,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,8/30/2015,8/30/2015,8/24/2015,27,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,,8/30/2015,8/24/2015,49,Online Shopping,Web
Bowflex Max Trainer,CAM44897 dofpgefeed1,,8/24/2015,8/24/2015,5,Online Shopping,Web
Bowflex Max Trainer,CAM44897 dofpgefeed1,,8/25/2015,8/24/2015,4,Online Shopping,Web
Bowflex Max Trainer,CAM44897 dofpgefeed1,8/26/2015,8/26/2015,8/24/2015,2,Online Shopping,Web
Bowflex Max Trainer,CAM44897 dofpgefeed1,,8/27/2015,8/24/2015,2,Online Shopping,Web
Bowflex Max Trainer,CAM44897 dofpgefeed1,8/28/2015,8/28/2015,8/24/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM44897 dofpgefeed1,,8/28/2015,8/24/2015,3,Online Shopping,Web
Bowflex Max Trainer,CAM44897 dofpgefeed1,,8/30/2015,8/24/2015,3,Online Shopping,Web
Bowflex Max Trainer,CAM44937 dofszefeed1,,8/27/2015,8/24/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM45043 SAWDOFG2E,8/24/2015,8/24/2015,8/24/2015,1,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45043 SAWDOFG2E,,8/24/2015,8/24/2015,1,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45043 SAWDOFG2E,,8/25/2015,8/24/2015,3,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45043 SAWDOFG2E,,8/26/2015,8/24/2015,1,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45043 SAWDOFG2E,8/28/2015,8/28/2015,8/24/2015,2,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45043 SAWDOFG2E,,8/28/2015,8/24/2015,2,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45043 SAWDOFG2E,,8/29/2015,8/24/2015,1,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45043 SAWDOFG2E,,8/30/2015,8/24/2015,1,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45045 SAWDOFPGE,8/29/2015,8/29/2015,8/24/2015,1,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM44544 SAWDOXFBE,,8/25/2015,8/24/2015,1,Online Social,Call Center Internal
Bowflex Max Trainer,CAM44544 SAWDOXFBE,,8/28/2015,8/24/2015,1,Online Social,Call Center Internal
Bowflex Max Trainer,CAM44544 SAWDOXFBE,8/29/2015,8/29/2015,8/24/2015,2,Online Social,Call Center Internal
Bowflex Max Trainer,CAM44544 SAWDOXFBE,,8/29/2015,8/24/2015,1,Online Social,Call Center Internal
Bowflex Max Trainer,CAM45898 DOXFBERESPONSE,8/24/2015,8/24/2015,8/24/2015,2,Online Social,Web
Bowflex Max Trainer,CAM45898 DOXFBERESPONSE,,8/24/2015,8/24/2015,3,Online Social,Web
Bowflex Max Trainer,CAM45898 DOXFBERESPONSE,,8/25/2015,8/24/2015,1,Online Social,Web
Bowflex Max Trainer,CAM45898 DOXFBERESPONSE,8/26/2015,8/26/2015,8/24/2015,2,Online Social,Web
Bowflex Max Trainer,CAM45898 DOXFBERESPONSE,,8/26/2015,8/24/2015,1,Online Social,Web
Bowflex Max Trainer,CAM45898 DOXFBERESPONSE,8/27/2015,8/27/2015,8/24/2015,1,Online Social,Web
Bowflex Max Trainer,CAM45898 DOXFBERESPONSE,,8/28/2015,8/24/2015,2,Online Social,Web
Bowflex Max Trainer,CAM45914 DOXFBGRESPONSE,,8/26/2015,8/24/2015,1,Online Social,Call Center Internal
Bowflex Max Trainer,CAM47172 DOXFBEGL1,8/27/2015,8/27/2015,8/24/2015,1,Online Social,Web
Bowflex Max Trainer,CAM47172 DOXFBEGL1,,8/29/2015,8/24/2015,1,Online Social,Web
Bowflex Max Trainer,CAM47987 DOXFBESCL001,8/24/2015,8/24/2015,8/24/2015,8,Online Social,Web
Bowflex Max Trainer,CAM47987 DOXFBESCL001,,8/24/2015,8/24/2015,5,Online Social,Web
Bowflex Max Trainer,CAM47987 DOXFBESCL001,8/25/2015,8/25/2015,8/24/2015,4,Online Social,Web
Bowflex Max Trainer,CAM47987 DOXFBESCL001,,8/25/2015,8/24/2015,2,Online Social,Web
Bowflex Max Trainer,CAM47987 DOXFBESCL001,8/26/2015,8/26/2015,8/24/2015,10,Online Social,Web
Bowflex Max Trainer,CAM47987 DOXFBESCL001,,8/26/2015,8/24/2015,2,Online Social,Web
Bowflex Max Trainer,CAM47987 DOXFBESCL001,8/27/2015,8/27/2015,8/24/2015,5,Online Social,Web
Bowflex Max Trainer,CAM47987 DOXFBESCL001,,8/27/2015,8/24/2015,7,Online Social,Web
Bowflex Max Trainer,CAM47987 DOXFBESCL001,8/28/2015,8/28/2015,8/24/2015,4,Online Social,Web
Bowflex Max Trainer,CAM47987 DOXFBESCL001,,8/28/2015,8/24/2015,2,Online Social,Web
Bowflex Max Trainer,CAM47987 DOXFBESCL001,8/29/2015,8/29/2015,8/24/2015,8,Online Social,Web
Bowflex Max Trainer,CAM47987 DOXFBESCL001,,8/29/2015,8/24/2015,9,Online Social,Web
Bowflex Max Trainer,CAM47987 DOXFBESCL001,8/30/2015,8/30/2015,8/24/2015,7,Online Social,Web
Bowflex Max Trainer,CAM47987 DOXFBESCL001,,8/30/2015,8/24/2015,6,Online Social,Web
Bowflex Max Trainer,CAM48002 DOXFBECAD1,8/24/2015,8/24/2015,8/24/2015,1,Online Social,Web
Bowflex Max Trainer,CAM48002 DOXFBECAD1,8/29/2015,8/29/2015,8/24/2015,1,Online Social,Web
Bowflex Max Trainer,CAM48003 DOXFBECAD2,8/24/2015,8/24/2015,8/24/2015,1,Online Social,Call Center Internal
Bowflex Max Trainer,CAM48003 DOXFBECAD2,8/24/2015,8/24/2015,8/24/2015,23,Online Social,Web
Bowflex Max Trainer,CAM48003 DOXFBECAD2,,8/24/2015,8/24/2015,10,Online Social,Web
Bowflex Max Trainer,CAM48003 DOXFBECAD2,8/25/2015,8/25/2015,8/24/2015,9,Online Social,Web
Bowflex Max Trainer,CAM48003 DOXFBECAD2,,8/25/2015,8/24/2015,5,Online Social,Web
Bowflex Max Trainer,CAM48003 DOXFBECAD2,8/26/2015,8/26/2015,8/24/2015,11,Online Social,Web
Bowflex Max Trainer,CAM48003 DOXFBECAD2,,8/26/2015,8/24/2015,3,Online Social,Web
Bowflex Max Trainer,CAM48003 DOXFBECAD2,8/27/2015,8/27/2015,8/24/2015,15,Online Social,Web
Bowflex Max Trainer,CAM48003 DOXFBECAD2,,8/27/2015,8/24/2015,7,Online Social,Web
Bowflex Max Trainer,CAM48003 DOXFBECAD2,8/28/2015,8/28/2015,8/24/2015,13,Online Social,Web
Bowflex Max Trainer,CAM48003 DOXFBECAD2,,8/28/2015,8/24/2015,4,Online Social,Web
Bowflex Max Trainer,CAM48003 DOXFBECAD2,8/29/2015,8/29/2015,8/24/2015,14,Online Social,Web
Bowflex Max Trainer,CAM48003 DOXFBECAD2,8/30/2015,8/29/2015,8/24/2015,1,Online Social,Web
Bowflex Max Trainer,CAM48003 DOXFBECAD2,,8/29/2015,8/24/2015,8,Online Social,Web
Bowflex Max Trainer,CAM48003 DOXFBECAD2,8/30/2015,8/30/2015,8/24/2015,15,Online Social,Web
Bowflex Max Trainer,CAM48003 DOXFBECAD2,,8/30/2015,8/24/2015,6,Online Social,Web
Bowflex Max Trainer,CAM48048 DOXFBESCL003,,8/28/2015,8/24/2015,1,Online Social,Web
Bowflex Max Trainer,CAM48049 DOXFBESCL004,8/24/2015,8/24/2015,8/24/2015,1,Online Social,Web
Bowflex Max Trainer,CAM48049 DOXFBESCL004,,8/25/2015,8/24/2015,2,Online Social,Web
Bowflex Max Trainer,CAM48049 DOXFBESCL004,,8/26/2015,8/24/2015,1,Online Social,Web
Bowflex Max Trainer,CAM48049 DOXFBESCL004,8/27/2015,8/27/2015,8/24/2015,1,Online Social,Web
Bowflex Max Trainer,CAM48049 DOXFBESCL004,,8/27/2015,8/24/2015,1,Online Social,Web
Bowflex Max Trainer,CAM48049 DOXFBESCL004,,8/29/2015,8/24/2015,2,Online Social,Web
Bowflex Max Trainer,CAM48050 DOXFBESCL005,8/24/2015,8/24/2015,8/24/2015,14,Online Social,Web
Bowflex Max Trainer,CAM48050 DOXFBESCL005,,8/24/2015,8/24/2015,15,Online Social,Web
Bowflex Max Trainer,CAM48050 DOXFBESCL005,8/25/2015,8/25/2015,8/24/2015,12,Online Social,Web
Bowflex Max Trainer,CAM48050 DOXFBESCL005,8/29/2015,8/25/2015,8/24/2015,1,Online Social,Web
Bowflex Max Trainer,CAM48050 DOXFBESCL005,,8/25/2015,8/24/2015,5,Online Social,Web
Bowflex Max Trainer,CAM48050 DOXFBESCL005,8/26/2015,8/26/2015,8/24/2015,29,Online Social,Web
Bowflex Max Trainer,CAM48050 DOXFBESCL005,,8/26/2015,8/24/2015,1,Online Social,Web
Bowflex Max Trainer,CAM48050 DOXFBESCL005,8/27/2015,8/27/2015,8/24/2015,11,Online Social,Web
Bowflex Max Trainer,CAM48050 DOXFBESCL005,,8/27/2015,8/24/2015,5,Online Social,Web
Bowflex Max Trainer,CAM48050 DOXFBESCL005,8/28/2015,8/28/2015,8/24/2015,14,Online Social,Web
Bowflex Max Trainer,CAM48050 DOXFBESCL005,,8/28/2015,8/24/2015,1,Online Social,Web
Bowflex Max Trainer,CAM48050 DOXFBESCL005,8/29/2015,8/29/2015,8/24/2015,15,Online Social,Web
Bowflex Max Trainer,CAM48050 DOXFBESCL005,,8/29/2015,8/24/2015,8,Online Social,Web
Bowflex Max Trainer,CAM48050 DOXFBESCL005,8/30/2015,8/30/2015,8/24/2015,15,Online Social,Web
Bowflex Max Trainer,CAM48050 DOXFBESCL005,,8/30/2015,8/24/2015,1,Online Social,Web
Bowflex Max Trainer,CAM44987 dovg2evl2,,8/27/2015,8/24/2015,1,Online Video,Web
Bowflex Max Trainer,CAM44987 dovg2evl2,8/30/2015,8/30/2015,8/24/2015,1,Online Video,Web
Bowflex Max Trainer,CAM45046 SAWDOVG2E,8/26/2015,8/26/2015,8/24/2015,1,Online Video,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM45400 DOVHULUEVL1,8/24/2015,8/24/2015,8/24/2015,4,Online Video,Web
Bowflex Max Trainer,CAM45400 DOVHULUEVL1,,8/24/2015,8/24/2015,3,Online Video,Web
Bowflex Max Trainer,CAM45400 DOVHULUEVL1,8/25/2015,8/25/2015,8/24/2015,3,Online Video,Web
Bowflex Max Trainer,CAM45400 DOVHULUEVL1,8/26/2015,8/26/2015,8/24/2015,9,Online Video,Web
Bowflex Max Trainer,CAM45400 DOVHULUEVL1,,8/26/2015,8/24/2015,1,Online Video,Web
Bowflex Max Trainer,CAM45400 DOVHULUEVL1,8/27/2015,8/27/2015,8/24/2015,4,Online Video,Web
Bowflex Max Trainer,CAM45400 DOVHULUEVL1,,8/27/2015,8/24/2015,1,Online Video,Web
Bowflex Max Trainer,CAM45400 DOVHULUEVL1,8/28/2015,8/28/2015,8/24/2015,5,Online Video,Web
Bowflex Max Trainer,CAM45400 DOVHULUEVL1,8/29/2015,8/29/2015,8/24/2015,2,Online Video,Web
Bowflex Max Trainer,CAM45400 DOVHULUEVL1,8/30/2015,8/30/2015,8/24/2015,7,Online Video,Web
Bowflex Max Trainer,CAM45435 DOVHULUEVL2,8/27/2015,8/27/2015,8/24/2015,1,Online Video,Web
Bowflex Max Trainer,CAM47238 SAWDOVTME,8/25/2015,8/25/2015,8/24/2015,1,Online Video,Call Center Internal
