Treadclimber,CAM29865 SAWADHERETC,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74743354,Online,Call Center Internal
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74823994,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74823995,Electronic - UnSourced,Web
Treadclimber,CAM32123 dofg2tfeed1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74823996,Online Shopping,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74823997,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74824093,Online Shopping,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74824094,Online Search,Web
Bowflex Max Trainer,CAM50255 SAWDODG2E,TouchPoint Integrated Communications,9/30/2017,9/30/2017,9/25/2017,74824193,Online Display,Call Center Internal
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74824194,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74824195,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74824196,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74824397,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74824398,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74824399,Online Search,Web
Bowflex Catalog,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,9/30/2017,9/30/2017,9/25/2017,74824401,Online Display,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74824402,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74824403,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74824497,Electronic - Short Form,Web
Bowflex Max Trainer,CAM48984 DOSG2ESL11,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74824498,Online Search,Web
Treadclimber,CAM48984 DOSG2ESL11,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74824499,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74824500,Electronic - UnSourced,Web
Bowflex Catalog,CAM40820 1800BFXCATALOG,Internal,9/30/2017,9/30/2017,9/25/2017,74824597,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM50811 DOSBIHSL1,TouchPoint Integrated Communications,9/30/2017,9/30/2017,9/25/2017,74824599,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74824698,Online Shopping,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74824699,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74824700,Online Search,Web
Treadclimber,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74824701,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74824702,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74824703,Online Search,Web
Treadclimber,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74824704,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74824705,Electronic - UnSourced,Web
Results Treadmill,CAM50820 DOSG2BXTSL2,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74824706,Online Search,Web
Bowflex HVT,CAM50745 1800HVT,Internal,,9/30/2017,9/25/2017,74824798,Un-Sourced,Call Center Internal
Bowflex Catalog,CAM48984 DOSG2ESL11,TouchPoint Integrated Communications,9/30/2017,9/30/2017,9/25/2017,74824799,Online Search,Web
Bowflex Max Trainer,CAM45729 DOSG2ESL6,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74824800,Online Search,Web
Bowflex Max Trainer,CAM34631 SAWDODG2G,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74824899,Online Display,Call Center Internal
Treadclimber,CAM34631 SAWDODG2G,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74824900,Online Display,Call Center Internal
Bowflex Home Gyms,CAM34631 SAWDODG2G,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74824901,Online Display,Call Center Internal
Bowflex Home Gyms,CAM40821 1800BOWFLEX,Internal,9/30/2017,9/30/2017,9/25/2017,74824902,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74824903,Online Search,Web
Bowflex Max Trainer,CAM37743 dosbigsl6,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74824904,Online Search,Web
Bowflex Home Gyms,CAM30755 dosg2gsl1,TouchPoint Integrated Communications,9/30/2017,9/30/2017,9/25/2017,74825003,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74825103,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74825105,Online Shopping,Web
Bowflex Max Trainer,CAM40821 1800BOWFLEX,Internal,,9/30/2017,9/25/2017,74825204,Un-Sourced,Call Center Internal
Results Treadmill,CAM40821 1800BOWFLEX,Internal,,9/30/2017,9/25/2017,74825206,Un-Sourced,Call Center Internal
Treadclimber,CAM40821 1800BOWFLEX,Internal,,9/30/2017,9/25/2017,74825207,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM40821 1800BOWFLEX,Internal,,9/30/2017,9/25/2017,74825208,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM40821 1800BOWFLEX,Internal,,9/30/2017,9/25/2017,74825209,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM40821 1800BOWFLEX,Internal,,9/30/2017,9/25/2017,74825211,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM40821 1800BOWFLEX,Internal,,9/30/2017,9/25/2017,74825212,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74825319,Online Search,Web
Bowflex Max Trainer,CAM48984 DOSG2ESL11,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74825419,Online Search,Web
Treadclimber,CAM48984 DOSG2ESL11,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74825519,Online Search,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74825619,Online Search,Web
Bowflex Home Gyms,CAM40821 1800BOWFLEX,Internal,,9/30/2017,9/25/2017,74825719,Un-Sourced,Call Center Internal
Bowflex Selecttech Dumbbells,CAM37428 dosg2dsl14,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74825720,Online Search,Web
Bowflex Catalog,CAM31081 dosg2gl1,TouchPoint Integrated Communications,9/30/2017,9/30/2017,9/25/2017,74825820,Online Search,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74825920,Online Display,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74825921,Online Search,Web
Bowflex Max Trainer,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74825922,Online Search,Web
Bowflex Selecttech Dumbbells,CAM45538 DODG2DDL2,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74826020,Online Display,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74826021,Electronic - UnSourced,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74826120,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74826121,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74826220,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74826221,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74826321,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74826322,Online Search,Web
Bowflex Home Gyms,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74826323,Online Search,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74826324,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74826325,Electronic - UnSourced,Web
Bowflex Revolution,CAM32062 dofg2gfeed1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74826520,Online Shopping,Web
Bowflex Max Trainer,CAM50256 DODG2EDL1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74826521,Online Display,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74826620,Online Search,Web
Treadclimber,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74826623,Online Search,Web
Bowflex Max Trainer,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74826720,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74826721,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM32062 dofg2gfeed1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74826820,Online Shopping,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74826920,Online Shopping,Web
Treadclimber,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74826921,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74827023,Electronic - UnSourced,Web
Bowflex Catalog,CAM44551 dosg2esl4,TouchPoint Integrated Communications,9/30/2017,9/30/2017,9/25/2017,74827226,Online Search,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74827227,Online Display,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74827228,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74827230,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74827231,Online Search,Web
Bowflex Home Gyms,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74827232,Online Search,Web
Bowflex Max Trainer,CAM44551 dosg2esl4,TouchPoint Integrated Communications,9/30/2017,9/30/2017,9/25/2017,74827325,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74827425,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74827426,Online Search,Web
Bowflex Max Trainer,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74827427,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74827428,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74827525,Online Shopping,Web
Treadclimber,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74827526,Online Shopping,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74827625,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74827726,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74827728,Online Search,Web
Bowflex Max Trainer,CAM49155 HMM*N120J14FSTIC,TouchPoint Integrated Communications,9/30/2017,9/30/2017,9/25/2017,74827826,Short Form,Call Center Internal
Bowflex Catalog,CAM50713 DODG2EDL2,TouchPoint Integrated Communications,9/30/2017,9/30/2017,9/25/2017,74827827,Online Display,Web
Bowflex Selecttech Dumbbells,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74828028,Online Search,Web
Treadclimber,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74828128,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74828328,Online Search,Web
Bowflex Max Trainer,CAM45562 DPEEPRINT14C,TouchPoint Integrated Communications,9/30/2017,9/30/2017,9/25/2017,74828429,Electronic - Print,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74828430,Online Search,Web
Bowflex Home Gyms,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74828431,Online Search,Web
Treadclimber,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74828728,Online Search,Web
Bowflex Max Trainer,CAM49655 SAWDOSG2GSL,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74828828,Online Search,Call Center Internal
Treadclimber,CAM49655 SAWDOSG2GSL,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74828829,Online Search,Call Center Internal
Bowflex Home Gyms,CAM49655 SAWDOSG2GSL,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74828830,Online Search,Call Center Internal
Bowflex Selecttech Dumbbells,CAM37148 dosg2dsl12,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74828832,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74828833,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74828834,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74828835,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74828836,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74828837,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74828931,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74828932,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74829031,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74829032,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74829034,Electronic - UnSourced,Web
Bowflex HVT,CAM50810 DOSG2HSL1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74829035,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74829131,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74829132,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,9/30/2017,9/30/2017,9/25/2017,74829133,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74829231,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,10/12/2017,9/30/2017,9/25/2017,74829331,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74829332,Online Search,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74829333,Online Display,Web
Bowflex Home Gyms,CAM40829 1800REVOLUTION,Internal,,9/30/2017,9/25/2017,74829531,Un-Sourced,Call Center Internal
Bowflex Selecttech Dumbbells,CAM40829 1800REVOLUTION,Internal,,9/30/2017,9/25/2017,74829532,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74829533,Online Shopping,Web
Bowflex Max Trainer,CAM28157 SALESFOLLOWUP,Internal,,9/30/2017,9/25/2017,74829633,Un-Sourced,Call Center Internal
Treadclimber,CAM28157 SALESFOLLOWUP,Internal,,9/30/2017,9/25/2017,74829634,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74829635,Online Search,Web
Treadclimber,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74829636,Online Search,Web
Bowflex HVT,CAM50810 DOSG2HSL1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74829735,Online Search,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74829736,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74829737,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74829738,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74829739,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74829740,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74829741,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74829839,Online Search,Web
Bowflex Home Gyms,CAM37117 dosg2gsl27,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74829935,Online Search,Web
Bowflex Home Gyms,CAM30755 dosg2gsl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74829936,Online Search,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74830035,Online Search,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74830036,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74830135,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74830235,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74830335,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74830336,Online Search,Web
Treadclimber,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74830337,Online Shopping,Web
Treadclimber,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,9/30/2017,9/30/2017,9/25/2017,74830338,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74830339,Electronic - UnSourced,Web
Results Treadmill,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74830435,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74830535,Online Search,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74830735,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,11/6/2017,9/30/2017,9/25/2017,74830736,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74830738,Online Search,Web
Treadclimber,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74830739,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74830935,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74830936,Online Search,Web
Treadclimber,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74830937,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74830938,Online Shopping,Web
Bowflex Max Trainer,CAM44948 dofbiefeed1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74830939,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74831035,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74831036,Online Shopping,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74831037,Electronic - UnSourced,Web
Results Treadmill,CAM50798 DOXFBBXT002,Internal,,9/30/2017,9/25/2017,74831135,Online Social,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74831235,Electronic - UnSourced,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74831237,Online Search,Web
Bowflex Catalog,CAM44497 dosg2esl1,TouchPoint Integrated Communications,10/5/2017,9/30/2017,9/25/2017,74831238,Online Search,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74831239,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74831240,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74831335,Online Search,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,9/30/2017,9/30/2017,9/25/2017,74831336,Electronic - Short Form,Web
Bowflex Selecttech Dumbbells,CAM37428 dosg2dsl14,TouchPoint Integrated Communications,9/30/2017,9/30/2017,9/25/2017,74831337,Online Search,Web
Bowflex Home Gyms,CAM34645 dodg2gdl2,TouchPoint Integrated Communications,9/30/2017,9/30/2017,9/25/2017,74831435,Online Display,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,9/30/2017,9/30/2017,9/25/2017,74831535,Online Search,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,9/30/2017,9/30/2017,9/25/2017,74831635,Online Display,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74831636,Electronic - UnSourced,Web
Bowflex Catalog,CAM37428 dosg2dsl14,TouchPoint Integrated Communications,9/30/2017,9/30/2017,9/25/2017,74831735,Online Search,Web
Results Treadmill,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74831736,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74831835,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74832035,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74832036,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74832037,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74832038,Online Search,Web
Bowflex HVT,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74832039,Online Shopping,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74832236,Online Display,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74832335,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74832336,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74832435,Online Shopping,Web
Bowflex Max Trainer,CAM50256 DODG2EDL1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74832535,Online Display,Web
Results Treadmill,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74832536,Online Search,Web
Bowflex HVT,CAM50811 DOSBIHSL1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74832635,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74832636,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74832637,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74832638,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,9/30/2017,9/30/2017,9/25/2017,74832735,Online Display,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74832737,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74832835,Online Display,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74832935,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37148 dosg2dsl12,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74832936,Online Search,Web
Bowflex Max Trainer,CAM44948 dofbiefeed1,TouchPoint Integrated Communications,11/13/2017,9/30/2017,9/25/2017,74833135,Online Shopping,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,,9/30/2017,9/25/2017,74833336,Electronic - Short Form,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,,9/30/2017,9/25/2017,74833436,Electronic - UnSourced,Web
